EVTDESC90910;Our country is under intellectual assault by modernity and the Western World. In the fields of modern technology, industry and military theory, the old traditions and institutions no longer serve us as they used to. Everywhere we turn, western influences spread like wildfire through our nation, our population, and our souls. If we are to remain what we always have been, and not become something else entirely, now is the time to assume control of our own destiny. It has become apparent to the leading members of our intellectual elite, that the only way to turn the tide on the Western Leviathan is to swim with it, for, as Sun Tzu says: The reed that bends before the wind, also offers a form of resistance.;Notre pays est la cible d'une attaque intellectuelle lancée par la modernité et le monde occidental. Dans les domaines de la technologie, de l'industrie et la théorie militaire modernes, les vieilles traditions et institutions ne nous sont plus aussi utiles qu'avant. Partout autour de nous, les influences occidentales se propagent, tel un incendie incontrôlable, dans notre nation, notre population et nos esprits. Pour conserver notre identité et éviter tout changement radical, il nous faut prendre en main notre destin. Il apparaît évident pour les responsables de notre élite intellectuelle que la seule manière d'inverser la tendance face au mastodonte occidental consiste à lui emboîter le pas car, comme le dit, Sun Tzu : le roseau qui plie face au vent ne cède pas.;Unser Land steht unter einem intellektuellen Angriff der Modernität und der westlichen Welt. In den Feldern Moderne Technologie, Industrie- und Militärtheorie leisten und die alten Traditionen und Institutionen nicht mehr so gute Dienste wie früher. Wo auch immer man hinsieht verbreiten sich westliche Einflüsse in unserer Nation, unter unserer Bevölkerung und in unseren Seelen wie ein Lauffeuer. Wenn wir so bleiben möchten wir bisher und unser Wesen nicht vollständig verändern wollen, ist jetzt die Zeit gekommen, um unser Schicksal in die eigenen Hände zu nehmen. Führende Mitglieder unserer intellektuellen Elite haben erkannt, dass der einzige Weg, das westliche Meerungeheuer aufzuhalten, eine Weile mit ihm zu schwimmen. Wie schon Sun sagte: Das Schilfrohr, dass sich im Wind biegt, liefert auch eine Art von Widerstand.;;Nuestro país se encuentra bajo el asalto de la modernidad y el mundo occidental. En los campos de la tecnología moderna y la teoría militar, las viejas tradiciones ya no nos son tan útiles como solían. Allá donde miramos, las influencias occidentales corren como la pólvora a lo largo de nuestra nación, nuestro pueblo y nuestras almas. Si vamos a seguir siendo lo que siempre hemos sido y no vamos a convertirnos en otra cosa, este es el momento de tomar las riendas de nuestro propio destino. A los miembros notables de nuestra élite intelectual les resulta evidente que la única forma de capear al leviatán occidental consiste en nadar con él ya que, como dice Sun Tzu, el junco más resistente es aquel que se dobla al viento.;;;;;;;;;x;
EVTNAME97700;Patriots;Les Patriotes;Die Patrioten;;Los Patriotas;;;;;;;;;x
EVTOPT97700;The patriots of our nation recovered the territories we had previously lost.;Les patriotes de notre nation ont récupéré les territoires que nous avions perdus précédemment.;Die Patrioten unserer Nation haben die Gebiete zurückerobert, die wir zuvor verloren hatten.;;Los patriotas de nuestra nación nos recuperaron los territorios que anteriormente perdimos.;;;;;;;;x
EVTOPTA97700;The people must unite;Le peuple doit s'unir;Das Volk muss sich vereinen;;El pueblo debe unirse;;;;;;;;;x
EVTOPTB97700;Kill them;Tuez-les;Töte sie;;Matenlos;;;;;;;;;x
EVTNAME800025;Vassal;Vassal;Vassal;Vasallo;;;;;;;;;;x
EVTDESC800025;You are now a vassal;Vous êtes maintenant un vassal;Sie sind jetzt ein Vasall;Ahora eres un vasallo;;;;;;;x
EVTOPTA800025;Oh;Oh;Oh;Oh;Oh;;;;;;;x
EVTNAME800026;Vassal;Vassal;Vassal;Vasallo;;;;;;;;;;x
EVTDESC800026;You aren't now a vassal;Vous n'êtes pas maintenant un vassal;Sie sind jetzt kein Vasall;Ahora no eres un vasallo;;;;;;;x
EVTOPTA800026;Oh;Oh;Oh;Oh;Oh;;;;;;;x
EVTNAME19370;Take Puppet;Prendre Marionnette;Puppe nehmen;;Tomar Títere;;;;;;;;x
EVTDESC19370;We lost our overlord by another one, nothing changed.;Nous avons perdu notre suzerain pour un autre, rien n'a changé.;Wir haben unseren Oberherren an einen anderen verloren, nichts hat sich geändert.;;Hemos perdido a nuestro señor por otro, nada ha cambiado.;;;;;;;;x
EVTOPTA19370;Yes..;Oui..;Ja..;;Sí!;;;;;;;;x
EVTNAME4721;A New Pretender;Un nouveau prétendant;Ein neuer Thronprätendent;;Un nuevo pretendiente;;;;;;;;;x
EVTDESC4721;Recently, there have been rebellions regarding the selection of a new king. We don't know who he is or his intentions, but we know he comes from the ancient Timurid dynasty. For some reason, many are in favor of him ruling the country.;Récemment, il y a eu des rébellions concernant la sélection d'un nouveau roi. Nous ne savons pas qui il est ni ses intentions, mais nous savons qu'il vient de l'ancienne dynastie des Timourides. Pour une raison quelconque, beaucoup sont en sa faveur pour diriger le pays.;In letzter Zeit gab es Rebellionen in Bezug auf die Auswahl eines neuen Königs. Wir wissen nicht, wer er ist oder was seine Absichten sind, aber wir wissen, dass er aus der alten Timuriden-Dynastie stammt. Aus irgendeinem Grund sind viele dafür, dass er das Land regiert.;;Recientemente, ha habido rebeliones con respecto a la selección de un nuevo rey. No sabemos quién es ni sus intenciones, pero sabemos que proviene de la antigua dinastía timúrida. Por alguna razón, muchos están a favor de que gobierne el país.;;;;;;;;;x
EVTOPTA4721;Let's Leave It, Nothing Will Happen, Probably..;Laissons faire, il ne se passera rien, probablement...;Lassen wir es, es wird wahrscheinlich nichts passieren...;;Dejémoslo, no pasará nada, seguramente..;;;;;;;;;x
EVTOPTB4721;No, Let's Ignore It;Non, ignorons cela;Nein, ignorieren wir es;;No, ignoremoslo;;;;;;;;;x
EVTNAME4850;The Usca Desintegration;La désintégration de l'Usca;Die Usca-Desintegration;;No podemos sobrevivir;;;;;;;;;x
EVTDESC4850;We.. can't.. survive..;Nous... ne pouvons... pas survivre...;Wir.. können nicht.. überleben..;;No podemos sobrevivir;;;;;;;;;x
EVTOPTA4850;EVTOPTA4850;EVTOPTA4850;EVTOPTA4850;;EVTOPTA4850;;;;;;;;;x
EVTNAME9919;The Paraguayan Army;L'armée paraguayenne;Die paraguayische Armee;;El Ejército Paraguayo;;;;;;;;x
EVTDESC9919;We have the strongest army in The Americas!;Nous avons la plus puissante armée des Amériques!;Wir haben die stärkste Armee in Amerika!;;Tenemos el ejército más fuerte de América!;;;;;;;;x
EVTOPTA9919;Exactly;Exactement;Genau;;Exactamente;;;;;;;;x
EVTNAME48206;Sanciones Alemanas;Sanctions Allemandes;Deutsche Sanktionen;;Sanciones Alemanas;;;;;;;;x
EVTDESC48206;Mi líder. Al parecer, al conquistar el sur, no se sienten representados en la federación, generando grandes disturbios internos.;My leader. Apparently, upon conquering the south, they do not feel represented in the federation, generating great internal disturbances.;Mon leader. Apparemment, après avoir conquis le sud, ils ne se sentent pas représentés dans la fédération, ce qui génère de grands troubles internes.;Mein Führer. Anscheinend fühlen sie sich nach der Eroberung des Südens in der Föderation nicht repräsentiert und verursachen große innere Unruhen.;;Mi líder. Al parecer, al conquistar el sur, no se sienten representados en la federación, generando grandes disturbios internos.;;;;;;;;x
EVTOPTA48206;Habrá que solucionarlo..;We'll have to solve it..;Nous devrons le résoudre..;Wir müssen es lösen..;;Habrá que solucionarlo..;;;;;;;;x
EVTNAME48207;Sanciones Alemanas;Sanctions Allemandes;Deutsche Sanktionen;;Sanciones Alemanas;;;;;;;;x
EVTDESC48207;Ya no hay problemas con el sur! :D;No more issues with the south! :D;Plus de problèmes avec le sud ! :D;Keine Probleme mehr mit dem Süden! :D;;Ya no hay problemas con el sur! :D;;;;;;;;x
EVTOPTA48207;Como estaba previsto.;As planned.;Comme prévu.;Wie geplant.;;Como estaba previsto.;;;;;;;;x
EVTNAME81000;Recapturing Warsaw;La récapture de Varsovie;Die Rückeroberung Warschaus;;La recuperación de Varsovia;;;;;;;;x
EVTDESC81000;After giving Warsaw to Congress of Poland, and getting it back, we can accept the polish in our country to not separate from us again or not;;Après avoir donné Varsovie au Congrès de Pologne et l'avoir récupéré, nous pouvons accepter les Polonais dans notre pays pour ne pas nous séparer à nouveau de nous;;Nachdem Warschau an den polnischen Reichstag abgegeben und zurückerhalten wurde, können wir die Polen wieder in unser Land aufnehmen, um sie nicht erneut von uns zu trennen;;Después de ceder Varsovia al Congreso de Polonia y recuperarla, podemos aceptar a los polacos en nuestro país para no separarnos de ellos nuevamente.;;;;;;;;x
EVTOPTA81000;Accept them, whe should forgive them.;Les accepter, nous devrions leur pardonner.;Sie annehmen, wir sollten ihnen vergeben.;;Aceptarlos, deberíamos perdonarlos.;;;;;;;;x
EVTOPTB81000;We don't accept, they wanted to independece from us, but we want to asimilate them.;Nous n'acceptons pas, ils voulaient l'indépendance de nous, mais nous voulons les assimiler.;Wir akzeptieren nicht, sie wollten sich von uns unabhängig machen, aber wir wollen sie assimiliert.;;No aceptamos, querían independizarse de nosotros, pero queremos asimilarlos.;;;;;;;;x
EVTOPTC81000;We don't accept, they wanted to independece from us.;Nous n'acceptons pas, ils voulaient l'indépendance de nous.;Wir akzeptieren nicht, sie wollten sich von uns unabhängig machen.;;No aceptamos, querían independizarse de nosotros.;;;;;;;;x
EVTNAME18502;The turks sends a message!;The turks sends a message!;The turks sends a message!;;Los turcos envian un mensaje!;;;;;;;;;x
EVTDESC18502;The turks requests the arab unification of you!;The turks requests the arab unification of you!;The turks requests the arab unification of you!;;Los turcos solicitan la unificación arabe de ustedes!;;;;;;;;;x
EVTNAME18503;The arabs refused!;The arabs refused!;The arabs refused!;;Los arabes lo rechazaron!;;;;;;;;;x
EVTDESC18503;Arabia refused our petition, this can't be real!;Arabia refused our petition, this can't be real!;Arabia refused our petition, this can't be real!;;Los arabes rechazaron nuestra peticion, esto no puede ser real!;;;;;;;;;x
EVTNAME25225;You're france, DIE!;You're france, DIE!;You're france, DIE!;;Eres francia, MUERE!;;;;;;;;;x
EVTDESC25225;You're france, DIE!;You're france, DIE!;You're france, DIE!;;Eres francia, MUERE!;;;;;;;;;x
EVTNAME25012;Mongolian Request;Mongolian Request;Mongolian Request;;Petición Mongola;;;;;;;;;x
EVTDESC25012;They want their cores back! Do we accept?;They want their cores back! Do we accept?;They want their cores back! Do we accept?;;Quieren sus núcleos de nuevo! Aceptamos?;;;;;;;;;x
EVTNAME60200;Become Empire;Become Empire;Become Empire;;Conviertete en Imperio;;;;;;;;;x
EVTNAME809198;Our destinity..;Our destinity..;Our destinity..;;Nuestro destino..;;;;;;;;;x
EVTNAME60200;We are going to be puppets, or not?;We are going to be puppets, or not?;We are going to be puppets, or not?;;Vamos a ser vasallos, o no?;;;;;;;;;x
EVTDESC60200;We're becoming an empire after doing a good work!;We're becoming an empire after doing a good work!;We're becoming an empire after doing a good work!;;Nos estamos convirtiendo en un imperio despues de hacer un buen trabajo!;;;;;;;;;x
EVTNAME60201;Become Republic;Become Republic;Become Republic;;Conviértete en una república;;;;;;;;;x
EVTDESC60201;We're becoming a republic after doing a good work!;We're becoming a republic after doing a good work!;We're becoming a republic after doing a good work!;;Nos estamos convirtiendo en una república despues de hacer un buen trabajo!;;;;;;;;;x
EVTNAME48560;Conquest of Massina;Conquête de Massina;Eroberung von Massina;;Conquista de Massina;;;;;;;;x
EVTDESC48560;After all of our conquests, we will do that.;Après toutes nos conquêtes, nous ferons cela.;Nach all unseren Eroberungen werden wir das tun.;;Después de todas nuestras conquistas, haremos eso.;;;;;;;;;;;;;;x
EVTOPTA48560;Yes;Oui;Ja;;Sí;;;;;;;x
EVTOPTB48560;No;Non;Nein;;No;;;;;;;x
EVTNAME18547;You are over infamy limit;Vous avez dépassé la limite d'infamie;Sie haben das Infamie-Limit überschritten;;Has superado el límite de infamia;;;;;;;x
EVTDESC18547;You are over infamy limit;Vous avez dépassé la limite d'infamie;Sie haben das Infamie-Limit überschritten;;Has superado el límite de infamia;;;;;;;x
EVTOPTA18547;Oh no;Oh no;Oh non;Oh nein;;Oh no;;;;;;;x
EVTNAME18548;You are not longer over infamy limit;Vous n'êtes plus au-dessus de la limite d'infamie;Sie überschreiten das Infamie-Limit nicht mehr;;Ya no estás por encima del límite de infamia;;;;;;;;x
EVTDESC18548;After all of your problematic diplomatic situation is better in the international world, you aren't going to be longer sanctioned.;Après que toutes vos situations diplomatiques problématiques se sont améliorées dans le monde international, vous ne serez plus sanctionné.;Nachdem alle Ihre problematischen diplomatischen Situationen in der internationalen Welt besser geworden sind, werden Sie nicht länger sanktioniert.;;Después de que todas sus situaciones diplomáticas problemáticas estén mejor en el mundo internacional, ya no serás sancionado.;;;;
EVTOPTA18548;As expected.;Comme prévu.;Wie erwartet.;;Como se esperaba.;;;;
EVTNAME1890;International Sanctions;Sanctions internationales;Internationale Sanktionen;;Sanciones Internacionales;;;;;;;;x
EVTDESC1890;After all of your crimes, you need to be controlled with hard sanctions.;Après tous vos crimes, vous devez être contrôlé avec des sanctions dures.;Nach all Ihren Verbrechen müssen Sie mit harten Sanktionen kontrolliert werden.;Después de todos tus crímenes, necesitas ser controlado con duras sanciones.;;;;
EVTOPTA1890;Well, they will see what happens..;Eh bien, ils verront ce qui se passe..;Nun, sie werden sehen, was passiert..;;Bueno, verán lo que sucede..;;;;;;;;x
EVTNAME1891;International Sanctioons;Sanctions internationales;Internationale Sanktionen;;Sanciones Internacionales;;;;;;;;x
EVTDESC1891;As expected, you have been controlled by the sanctions, so, you haven't them anymore.;Comme prévu, vous avez été contrôlé par les sanctions, donc, vous ne les avez plus.;Wie erwartet wurden Sie durch die Sanktionen kontrolliert, daher haben Sie sie nicht mehr.;Como se esperaba, has sido controlado por las sanciones, por lo tanto, ya no las tienes.;;;;
EVTOPTA1891;Finally..;Enfin..;Schließlich..;;Finalmente..;;;;;;;;;x
EVTNAME60202;Become Absolute Monarchy;Become Absolute Monarchy;Become Absolute Monarchy;;Conviertete en una Monarquia Absoluta;;;;;;;;;x
EVTDESC60202;We're becoming an absolute monarchy after doing a good work!;We're becoming an absolute monarchy after doing a good work!;Nos estamos convirtiendo en una monarquia absoluta despues de hacer un buen trabajo!;;;;;;;;;;;x
EVTNAME25006;Coup in the Qing Dinasty;Coup in the Qing Dinasty;Coup in the Qing Dinasty;;Rebeldes en la Dinastia Qing;;;;;;;;;x
EVTDESC25006;The rebels won..;The rebels won..;The rebels won..;;Los rebeldes ganaron..;;;;;;;;;x
EVTNAME25007;Coup in the Heavenly Kingdom;Coup in the Heavenly Kingdom;Coup in the Heavenly Kingdom;;Rebeldes en el Reino Celestial;;;;;;;;;x
EVTDESC25007;The rebels won..;The rebels won..;The rebels won..;;Los rebeldes ganaron..;;;;;;;;;x
EVTNAME25008;The opium conflict!;The opium conflict!;The opium conflict!;;El conflicto del opio;;;;;;;;;x
EVTDESC25008;China burns our opium!;China burns our opium!;China burns our opium!;;Los chinos nos queman nuestro opio!;;;;;;;;;x
EVTNAME25009;We lost the opium war!;We lost the opium war!;We lost the opium war!;;Perdimos la guerra del opio!;;;;;;;;;x
EVTDESC25009;After lose in war with the United Kingdom, we are now humillated :(;After lose in war with the United Kingdom, we are now humillated :(;After lose in war with the United Kingdom, we are now humillated :(;;Despues de perder en una guerra contra el Reino Unido, ahora somos humillados :(;;;;;;;;;x
EVTNAME26009;We won the opium war!;We won the opium war!;We won the opium war!;;Ganamos la guerra del opio!;;;;;;;;;x
EVTDESC26009;After winning in war with the United Kingdom, they are now humillated :);After winning in war with the United Kingdom, they are now humillated :);After winning in war with the United Kingdom, they are now humillated :);;Después de ganar una guerra contra el Reino Unido, ahora están humillados :);;;;;;;;;x
EVTNAME25010;Insolatism!;Insolatism!;Insolatism!;;Aislacionismo!;;;;;;;;;x
EVTDESC25010;Insolatism!;Insolatism!;Insolatism!;;Aislacionismo!;;;;;;;;;x
EVTNAME25011;The liberation!;The liberation!;The liberation!;;La liberacion!;;;;;;;;;x
EVTDESC25011;The liberation!;The liberation!;The liberation!;;La liberacion!;;;;;;;;;x
EVTNAME809199;The Spheres Vasallization;La Vassalisation des Sphères;Die Vasallisierung der Sphären;;La Vasallización de las Esferas;;;;;;;;x
EVTDESC809199;Any country who is our sphere, will be our puppet if we have good realations with them.;Tout pays qui est notre sphère deviendra notre marionnette si nous avons de bonnes relations avec eux.;Jedes Land, das unsere Sphäre ist, wird unser Vasall, wenn wir gute Beziehungen zu ihnen haben.;;Cualquier país que sea nuestra esfera, será nuestro títere si tenemos buenas relaciones con ellos.;;;;;;;;x
EVTOPTA809199;Okay, let's do it;D'accord, faisons-le;Okay, machen wir es;;;De acuerdo, hagámoslo.;;;;;;;;x
EVTNAME809200;The Subjects Annexation;L'annexion des sujets;Die Annexion der Untertanen;;La anexión de los sujetos;;;;;;;;;x
EVTDESC809200;Any country who is our subject, will annex us if we have good relations with them.;Toute nation qui est notre sujet nous annexera si nous avons de bonnes relations avec elle.;Toute nation qui est notre sujet nous annexera si nous avons de bonnes relations avec elle.;Jede Nation, die unser Untertan ist, wird uns annektieren, wenn wir gute Beziehungen zu ihnen haben.;;Cualquier país que sea nuestro súbdito, nos anexará si tenemos buenas relaciones con ellos.;;;;;;;;x
EVTOPTA809200;Okay, let's do it;D'accord, faisons-le;Okay, machen wir es;;De acuerdo, hagámoslo;;;;;;;;;x
EVTNAME809201;Our Succesion;Notre Succesion;Unser Nachfolger;;Nuestra Sucesión;;;;;;;;;x
EVTDESC809201;$FROMCOUNTRY$ wants to annex us.;$FROMCOUNTRY$ quiere anexarnos.;$FROMCOUNTRY$ veut nous annexer.;$FROMCOUNTRY$ möchte uns annektieren.;;$FROMCOUNTRY$ quiere anexarnos.;;;;;;;;x
EVTOPTA809201;Never.;Jamais.;Jamais.;Nie.;;Nunca.;;;;;;;;x
EVTOPTB809201;Okay, we agree.;D'accord, nous sommes d'accord.;Okay, wir sind einverstanden.;De acuerdo, estamos de acuerdo.;;De acuerdo, estamos de acuerdo.;;;;;;;;x
EVTNAME48101;$FROMCOUNTRY$ called to us to a referendum;$FROMCOUNTRY$ called to us to a referendum;$FROMCOUNTRY$ called to us to a referendum;;$FROMCOUNTRY$ nos llamo a un referendum;;;;;;;;;x
EVTDESC48101;$FROMCOUNTRY$ wants to claim congo, what do we do?;$FROMCOUNTRY$ wants to claim congo, what do we do?;$FROMCOUNTRY$ wants to claim congo, what do we do?;;$FROMCOUNTRY$ quiere reclamar el congo, que hacemos?;;;;;;;;;x
EVTNAME48102;We won the congo!;We won the congo!;We won the congo!;;Ganamos el Congo!;;;;;;;;;x
EVTDESC48102;We won the congo!;We won the congo!;We won the congo!;;Ganamos el Congo!;;;;;;;;;x
EVTNAME48103;We didn't win the congo! :(;We didn't win the congo! :(;We didn't win the congo! :(;;No ganamos el Congo :(;;;;;;;;;x
EVTDESC48103;We didn't win the congo! :(;We didn't win the congo! :(;We didn't win the congo! :(;;No ganamos el Congo :(;;;;;;;;;x
EVTNAME48104;The Congo Ultimatum;The Congo Ultimatum;The Congo Ultimatum;;El Ultimatum del Congo;;;;;;;;;x
EVTDESC48104;The great powers decided to remove from us the Congo, what we do?;The great powers decided to remove from us the Congo, what we do?;The great powers decided to remove from us the Congo, what we do?;;Las grandes potencias decidieron quitarnos el Congo, que hacemos?;;;;;;;;;x
EVTNAME48105;The Congo Referendum;The Congo Referendum;The Congo Referendum;;El Referendum del Congo;;;;;;;;;x
EVTDESC48105;$FROMCOUNTRY$ accepts to give us its Congo;$FROMCOUNTRY$ accepts to give us its Congo;$FROMCOUNTRY$ accepts to give us its Congo;;$FROMCOUNTRY$ acepta darnos su Congo;;;;;;;;;x
EVTNAME48106;The Congo Referendum;The Congo Referendum;The Congo Referendum;;El Referendum del Congo;;;;;;;;;x
EVTDESC48106;$FROMCOUNTRY$ didn't accept :(;$FROMCOUNTRY$ didn't accept :(;$FROMCOUNTRY$ didn't accept :(;;$FROMCOUNTRY$ no acepto :(;;;;;;;;;x
EVTNAME18502;The turks sends a message!;The turks sends a message!;The turks sends a message!;;Los turcos envian un mensaje!;;;;;;;;;x
EVTDESC18502;The turks requests the arab unification of you!;The turks requests the arab unification of you!;The turks requests the arab unification of you!;;Los turcos quieren una unificacion araba tuya!;;;;;;;;;x
EVTNAME18503;The arabs refused!;The arabs refused!;The arabs refused!;;Los arabes nos rechazaron!;;;;;;;;;x
EVTDESC18503;Arabia refused our petition, this can't be real!;Arabia refused our petition, this can't be real!;Arabia refused our petition, this can't be real!;;Arabia rechazo nuestra peticion, esto no puede ser real!;;;;;;;;;x
EVTNAME9985;Asimilation finished!;Asimilation finished!;Asimilation finished!;;La asimilacion termino!;;;;;;;;;x
EVTDESC9985;The asimilation was finished from the genocide so now you can do another genocide :);The asimilation was finished from the genocide so now you can do another genocide :);The asimilation was finished from the genocide so now you can do another genocide :);;La asimilacion se termino del genocidio asique ahora puedes hacer otro genocidio :);;;;;;;;;x
EVTNAME48201;The German Ultimatum;The German Ultimatum;The German Ultimatum;;El Ultimatum Aleman;;;;;;;;;x
EVTDESC48201;$FROMCOUNTRY$ wants to anchluss you, do you accept the Ultimatum?;$FROMCOUNTRY$ wants to anchluss you, do you accept the Ultimatum?;$FROMCOUNTRY$ wants to anchluss you, do you accept the Ultimatum?;;$FROMCOUNTRY$ te quiere hacer un anchluss, aceptas el Ultimatum?;;;;;;;;;x
EVTNAME48202;$FROMCOUNTRY$ accepts!;$FROMCOUNTRY$ accepts!;$FROMCOUNTRY$ accepts!;;$FROMCOUNTRY$ acepta!;;;;;;;;;x
EVTDESC48202;$FROMCOUNTRY$ accepts the Ultimatum! What we do?;$FROMCOUNTRY$ accepts the Ultimatum! What we do?;$FROMCOUNTRY$ accepts the Ultimatum! What we do?;;$FROMCOUNTRY$ acepto el Ultimatum! Que hacemos ahora?;;;;;;;;;x
EVTNAME48203;$FROMCOUNTRY$ refuses!;$FROMCOUNTRY$ refuses!;$FROMCOUNTRY$ refuses!;;$FROMCOUNTRY$ nos rechazo!;;;;;;;;;x
EVTDESC48203;$FROMCOUNTRY$ refuses the Ultimatum! What we do?;$FROMCOUNTRY$ refuses the Ultimatum! What we do?;$FROMCOUNTRY$ refuses the Ultimatum! What we do?;;$FROMCOUNTRY$ rechazo el Ultimatum! Que hacemos?;;;;;;;;;x
EVTNAME48204;Austria fell!;Austria fell!;Austria fell!;;Austria Cayo!;;;;;;;;;x
EVTDESC48204;Austria fell! What we do?;Austria fell! What we do?;Austria fell! What we do?;;Austria cayo! Que hacemos ahora?;;;;;;;;;x
EVTNAME58301;The india problem;The india problem;The india problem;;El problema indio;;;;;;;;;x
EVTDESC58301;$FROMCOUNTRY$ wants india, what we do?;$FROMCOUNTRY$ wants india, what we do?;$FROMCOUNTRY$ wants india, what we do?;;$FROMCOUNTRY$ quiere india, que hacemos?;;;;;;;;;x
EVTNAME58302;$FROMCOUNTRY$ Accepts!;$FROMCOUNTRY$ Accepts!;$FROMCOUNTRY$ Accepts!;;$FROMCOUNTRY$ acepta!;;;;;;;;;x
EVTDESC58302;$FROMCOUNTRY$ accepts to give us india!;$FROMCOUNTRY$ accepts to give us india!;$FROMCOUNTRY$ accepts to give us india!;;$FROMCOUNTRY$ accepta darnos la india!;;;;;;;;;x
EVTNAME58303;$FROMCOUNTRY$ Didn't Accept!;$FROMCOUNTRY$ Didn't Accept!;$FROMCOUNTRY$ Didn't Accept!;;$FROMCOUNTRY$ no acepto!;;;;;;;;;x
EVTDESC58303;$FROMCOUNTRY$ didn't accept to give us india :(;$FROMCOUNTRY$ didn't accept to give us india :(;$FROMCOUNTRY$ didn't accept to give us india :(;;$FROMCOUNTRY$ no acepto darnos la india :(;;;;;;;;;x
EVTNAME25193;$FROMCOUNTRY$ wants money;$FROMCOUNTRY$ wants money;$FROMCOUNTRY$ wants money;;$FROMCOUNTRY$ quiere dinero;;;;;;;;;x
EVTDESC25193;$FROMCOUNTRY$ wants money;$FROMCOUNTRY$ wants money;$FROMCOUNTRY$ wants money;;$FROMCOUNTRY$ quiere dinero;;;;;;;;;x
EVTNAME25221;Goods for you baby;Goods for you baby;Goods for you baby;;Recuros para ti beiby;;;;;;;;;x
EVTDESC25221;Goods for you baby;Goods for you baby;Goods for you baby;;Recuros para ti beiby;;;;;;;;;x
EVTNAME25020;We are free..;We are free..;We are free..;;Somos libres..;;;;;;;;;x
